"How do you classify your diet?"
"Vegetarian"
"Vegetarian"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Vegetarian"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Vegetarian"
"Omnivore or other"
"Omnivore or other"
"Vegetarian"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
"Omnivore or other"
